Date,Day of Week,Week Ending,Month Ending,Year Ending
2024-01-09,Friday,2034-37,2034-09,2024
2024-01-23,Tuesday,2034-38,2034-09,2024
2024-02-10,Friday,2034-39,2034-09,2024
2024-01-24,Tuesday,2034-40,2034-10,2024
2024-01-30,Friday,2034-41,2034-10,2024
2024-02-04,Monday,2034-42,2034-10,2024
2024-02-04,Friday,2034-43,2034-10,2024
2024-01-26,Wednesday,2034-44,2034-10,2024
2024-01-16,Tuesday,2034-45,2034-11,2024
2024-01-25,Thursday,2034-46,2034-11,2024
2024-01-17,Monday,2034-47,2034-11,2024
2024-01-25,Monday,2034-48,2034-11,2024
2024-01-12,Wednesday,2034-49,2034-12,2024
2024-01-31,Wednesday,2034-50,2034-12,2024
2024-01-14,Friday,2034-51,2034-12,2024
2024-01-26,Monday,2034-52,2034-12,2024
2024-02-04,Monday,2035-01,2035-01,2024
2024-01-14,Wednesday,2035-02,2035-01,2024
2024-02-09,Friday,2035-03,2035-01,2024
2024-01-25,Wednesday,2035-04,2035-01,2024
2024-01-16,Monday,2035-05,2035-01,2024
2024-01-29,Friday,2035-06,2035-02,2024
2024-01-24,Monday,2035-07,2035-02,2024
2024-01-26,Friday,2035-08,2035-02,2024
2024-01-20,Monday,2035-09,2035-02,2024
2024-01-10,Monday,2035-10,2035-03,2024
2024-01-24,Thursday,2035-11,2035-03,2024
2024-02-08,Wednesday,2035-12,2035-03,2024
2024-01-24,Friday,2035-13,2035-03,2024
2024-01-21,Tuesday,2035-14,2035-04,2024
2024-01-14,Tuesday,2035-15,2035-04,2024
2024-01-22,Wednesday,2035-16,2035-04,2024
2024-01-09,Wednesday,2035-17,2035-04,2024
2024-01-11,Tuesday,2035-18,2035-04,2024
2024-01-08,Wednesday,2035-19,2035-05,2024
2024-01-29,Wednesday,2035-20,2035-05,2024
2024-02-10,Thursday,2035-21,2035-05,2024
2024-01-30,Tuesday,2035-22,2035-05,2024
2024-01-12,Friday,2035-23,2035-06,2024
2024-01-26,Wednesday,2035-24,2035-06,2024
2024-02-07,Thursday,2035-25,2035-06,2024
2024-01-10,Thursday,2035-26,2035-06,2024
2024-01-28,Tuesday,2035-27,2035-07,2024
2024-01-24,Tuesday,2035-28,2035-07,2024
2024-01-15,Monday,2035-29,2035-07,2024
2024-02-07,Monday,2035-30,2035-07,2024
2024-01-25,Friday,2035-31,2035-07,2024
2024-01-18,Friday,2035-32,2035-08,2024
2024-02-01,Friday,2035-33,2035-08,2024
2024-01-17,Friday,2035-34,2035-08,2024
2024-01-08,Friday,2035-35,2035-08,2024
2024-01-13,Thursday,2035-36,2035-09,2024
2024-01-22,Monday,2035-37,2035-09,2024
2024-01-25,Friday,2035-38,2035-09,2024
2024-02-04,Friday,2035-39,2035-09,2024
2024-01-31,Thursday,2035-40,2035-10,2024
2024-01-27,Wednesday,2035-41,2035-10,2024
2024-02-10,Tuesday,2035-42,2035-10,2024
2024-01-19,Friday,2035-43,2035-10,2024
2024-01-13,Monday,2035-44,2035-10,2024
2024-01-15,Thursday,2035-45,2035-11,2024
2024-01-11,Wednesday,2035-46,2035-11,2024
2024-01-23,Friday,2035-47,2035-11,2024
2024-01-18,Tuesday,2035-48,2035-11,2024
2024-01-28,Friday,2035-49,2035-12,2024
2024-02-03,Tuesday,2035-50,2035-12,2024
2024-02-01,Thursday,2035-51,2035-12,2024
2024-01-26,Tuesday,2035-52,2035-12,2024
2024-01-11,Tuesday,2035-53,2035-12,2024
2024-01-25,Wednesday,2036-01,2036-01,2024
2024-01-09,Monday,2036-02,2036-01,2024
2024-02-02,Tuesday,2036-03,2036-01,2024
2024-01-10,Wednesday,2036-04,2036-01,2024
2024-01-17,Thursday,2036-05,2036-02,2024
2024-01-27,Tuesday,2036-06,2036-02,2024
2024-02-02,Friday,2036-07,2036-02,2024
2024-01-13,Tuesday,2036-08,2036-02,2024
2024-02-07,Wednesday,2036-09,2036-03,2024
2024-01-21,Monday,2036-10,2036-03,2024
2024-01-19,Wednesday,2036-11,2036-03,2024
2024-01-23,Friday,2036-12,2036-03,2024
2024-01-14,Tuesday,2036-13,2036-03,2024
2024-01-25,Friday,2036-14,2036-04,2024
2024-01-18,Tuesday,2036-15,2036-04,2024
2024-01-15,Monday,2036-16,2036-04,2024
2024-01-13,Wednesday,2036-17,2036-04,2024
2024-01-21,Monday,2036-18,2036-05,2024
2024-02-07,Wednesday,2036-19,2036-05,2024
2024-01-29,Tuesday,2036-20,2036-05,2024
2024-01-17,Tuesday,2036-21,2036-05,2024
2024-01-15,Tuesday,2036-22,2036-06,2024
2024-01-16,Thursday,2036-23,2036-06,2024
2024-02-06,Friday,2036-24,2036-06,2024
2024-01-21,Wednesday,2036-25,2036-06,2024
2024-02-09,Wednesday,2036-26,2036-06,2024
2024-01-08,Friday,2036-27,2036-07,2024
2024-02-09,Tuesday,2036-28,2036-07,2024
2024-01-12,Thursday,2036-29,2036-07,2024
2024-01-09,Monday,2036-30,2036-07,2024
2024-01-28,Thursday,2036-31,2036-08,2024
2024-01-11,Friday,2036-32,2036-08,2024
2024-02-10,Tuesday,2036-33,2036-08,2024
2024-01-30,Friday,2036-34,2036-08,2024
2024-01-26,Thursday,2036-35,2036-09,2024
2024-02-03,Tuesday,2036-36,2036-09,2024
2024-01-20,Wednesday,2036-37,2036-09,2024
2024-01-08,Wednesday,2036-38,2036-09,2024
2024-02-03,Tuesday,2036-39,2036-09,2024
2024-01-21,Monday,2036-40,2036-10,2024
2024-02-08,Tuesday,2036-41,2036-10,2024
2024-01-20,Wednesday,2036-42,2036-10,2024
2024-01-28,Monday,2036-43,2036-10,2024
2024-01-16,Friday,2036-44,2036-11,2024
2024-01-11,Friday,2036-45,2036-11,2024
2024-01-13,Tuesday,2036-46,2036-11,2024
2024-02-07,Thursday,2036-47,2036-11,2024
2024-02-02,Thursday,2036-48,2036-12,2024
2024-02-06,Thursday,2036-49,2036-12,2024
2024-01-31,Wednesday,2036-50,2036-12,2024
2024-01-13,Monday,2036-51,2036-12,2024
2024-01-30,Monday,2036-52,2036-12,2024
2024-02-04,Monday,2037-01,2037-01,2024
2024-01-08,Thursday,2037-02,2037-01,2024
2024-01-13,Wednesday,2037-03,2037-01,2024
2024-01-08,Thursday,2037-04,2037-01,2024
2024-01-31,Friday,2037-05,2037-02,2024
2024-02-01,Tuesday,2037-06,2037-02,2024
2024-01-29,Wednesday,2037-07,2037-02,2024
2024-01-27,Thursday,2037-08,2037-02,2024
2024-01-08,Thursday,2037-09,2037-03,2024
2024-01-25,Friday,2037-10,2037-03,2024
2024-02-02,Monday,2037-11,2037-03,2024
2024-02-09,Thursday,2037-12,2037-03,2024
2024-02-08,Wednesday,2037-13,2037-03,2024
2024-01-31,Friday,2037-14,2037-04,2024
2024-01-19,Monday,2037-15,2037-04,2024
2024-02-04,Friday,2037-16,2037-04,2024
2024-01-11,Monday,2037-17,2037-04,2024
2024-01-23,Friday,2037-18,2037-05,2024
2024-01-14,Friday,2037-19,2037-05,2024
2024-01-25,Monday,2037-20,2037-05,2024
2024-01-17,Tuesday,2037-21,2037-05,2024
2024-01-22,Friday,2037-22,2037-06,2024
2024-01-15,Tuesday,2037-23,2037-06,2024
2024-02-08,Thursday,2037-24,2037-06,2024
2024-01-17,Wednesday,2037-25,2037-06,2024
2024-02-09,Monday,2037-26,2037-06,2024
2024-02-07,Wednesday,2037-27,2037-07,2024
2024-01-28,Wednesday,2037-28,2037-07,2024
2024-01-29,Monday,2037-29,2037-07,2024
2024-01-24,Thursday,2037-30,2037-07,2024
2024-01-15,Friday,2037-31,2037-08,2024
2024-01-09,Friday,2037-32,2037-08,2024
2024-02-04,Monday,2037-33,2037-08,2024
2024-01-13,Thursday,2037-34,2037-08,2024
2024-01-16,Tuesday,2037-35,2037-08,2024
2024-01-28,Thursday,2037-36,2037-09,2024
2024-02-04,Tuesday,2037-37,2037-09,2024
2024-01-10,Thursday,2037-38,2037-09,2024
2024-01-09,Thursday,2037-39,2037-09,2024
2024-02-10,Wednesday,2037-40,2037-10,2024
2024-01-13,Tuesday,2037-41,2037-10,2024
2024-01-18,Wednesday,2037-42,2037-10,2024
2024-01-29,Monday,2037-43,2037-10,2024
2024-01-13,Monday,2037-44,2037-11,2024
2024-01-08,Monday,2037-45,2037-11,2024
2024-01-20,Thursday,2037-46,2037-11,2024
2024-01-29,Wednesday,2037-47,2037-11,2024
2024-01-11,Tuesday,2037-48,2037-11,2024
2024-02-02,Wednesday,2037-49,2037-12,2024
2024-01-26,Thursday,2037-50,2037-12,2024
2024-01-29,Tuesday,2037-51,2037-12,2024
2024-01-29,Wednesday,2037-52,2037-12,2024
2024-01-19,Thursday,2038-01,2038-01,2024
2024-01-27,Monday,2038-02,2038-01,2024
2024-02-04,Friday,2038-03,2038-01,2024
2024-01-26,Tuesday,2038-04,2038-01,2024
2024-02-04,Tuesday,2038-05,2038-02,2024
2024-01-10,Wednesday,2038-06,2038-02,2024
2024-01-10,Friday,2038-07,2038-02,2024
2024-01-14,Monday,2038-08,2038-02,2024
2024-01-16,Thursday,2038-09,2038-03,2024
2024-01-21,Wednesday,2038-10,2038-03,2024
2024-01-14,Friday,2038-11,2038-03,2024
2024-01-22,Wednesday,2038-12,2038-03,2024
2024-01-16,Friday,2038-13,2038-03,2024
2024-01-08,Friday,2038-14,2038-04,2024
2024-02-02,Thursday,2038-15,2038-04,2024
2024-01-15,Monday,2038-16,2038-04,2024
2024-01-08,Friday,2038-17,2038-04,2024
2024-01-17,Wednesday,2038-18,2038-05,2024
2024-01-27,Thursday,2038-19,2038-05,2024
2024-01-31,Tuesday,2038-20,2038-05,2024
2024-01-15,Monday,2038-21,2038-05,2024
2024-01-23,Thursday,2038-22,2038-05,2024
2024-02-09,Monday,2038-23,2038-06,2024
2024-01-09,Friday,2038-24,2038-06,2024
2024-01-14,Wednesday,2038-25,2038-06,2024
2024-01-25,Wednesday,2038-26,2038-06,2024
2024-02-05,Friday,2038-27,2038-07,2024
2024-01-08,Wednesday,2038-28,2038-07,2024
2024-01-15,Tuesday,2038-29,2038-07,2024
2024-01-28,Tuesday,2038-30,2038-07,2024
2024-01-28,Wednesday,2038-31,2038-08,2024
2024-01-28,Wednesday,2038-32,2038-08,2024
2024-01-17,Thursday,2038-33,2038-08,2024
2024-01-25,Thursday,2038-34,2038-08,2024
2024-01-23,Wednesday,2038-35,2038-08,2024
2024-01-12,Wednesday,2038-36,2038-09,2024
2024-01-11,Thursday,2038-37,2038-09,2024
2024-01-26,Wednesday,2038-38,2038-09,2024
2024-01-10,Tuesday,2038-39,2038-09,2024
2024-02-07,Monday,2038-40,2038-10,2024
2024-01-17,Monday,2038-41,2038-10,2024
2024-01-22,Thursday,2038-42,2038-10,2024
2024-01-20,Tuesday,2038-43,2038-10,2024
2024-02-04,Wednesday,2038-44,2038-11,2024
2024-02-04,Tuesday,2038-45,2038-11,2024
2024-01-30,Wednesday,2038-46,2038-11,2024
2024-01-19,Monday,2038-47,2038-11,2024
2024-01-12,Tuesday,2038-48,2038-11,2024
2024-01-19,Friday,2038-49,2038-12,2024
2024-01-21,Thursday,2038-50,2038-12,2024
2024-02-08,Thursday,2038-51,2038-12,2024
2024-01-10,Tuesday,2038-52,2038-12,2024
2024-02-04,Thursday,2039-01,2039-01,2024
2024-01-09,Friday,2039-02,2039-01,2024
2024-01-27,Thursday,2039-03,2039-01,2024
2024-02-06,Monday,2039-04,2039-01,2024
2024-01-24,Friday,2039-05,2039-01,2024
2024-02-10,Thursday,2039-06,2039-02,2024
2024-01-27,Thursday,2039-07,2039-02,2024
2024-02-08,Thursday,2039-08,2039-02,2024
2024-01-14,Monday,2039-09,2039-02,2024
2024-01-15,Tuesday,2039-10,2039-03,2024
2024-01-12,Thursday,2039-11,2039-03,2024
2024-01-24,Friday,2039-12,2039-03,2024
2024-01-08,Thursday,2039-13,2039-03,2024
2024-01-12,Wednesday,2039-14,2039-04,2024
2024-01-09,Wednesday,2039-15,2039-04,2024
2024-01-16,Tuesday,2039-16,2039-04,2024
2024-01-25,Friday,2039-17,2039-04,2024
2024-01-10,Tuesday,2039-18,2039-05,2024
2024-02-06,Monday,2039-19,2039-05,2024
2024-01-26,Tuesday,2039-20,2039-05,2024
2024-01-23,Friday,2039-21,2039-05,2024
2024-01-26,Wednesday,2039-22,2039-05,2024
2024-01-25,Friday,2039-23,2039-06,2024
2024-01-30,Thursday,2039-24,2039-06,2024
2024-01-26,Monday,2039-25,2039-06,2024
2024-01-28,Friday,2039-26,2039-06,2024
2024-02-04,Tuesday,2039-27,2039-07,2024
2024-02-03,Monday,2039-28,2039-07,2024
2024-01-23,Wednesday,2039-29,2039-07,2024
2024-02-04,Thursday,2039-30,2039-07,2024
2024-01-22,Tuesday,2039-31,2039-08,2024
2024-01-26,Wednesday,2039-32,2039-08,2024
2024-02-04,Tuesday,2039-33,2039-08,2024
2024-01-21,Monday,2039-34,2039-08,2024
2024-01-14,Tuesday,2039-35,2039-08,2024
2024-01-12,Monday,2039-36,2039-09,2024
2024-01-12,Monday,2039-37,2039-09,2024
2024-01-15,Thursday,2039-38,2039-09,2024
2024-01-09,Tuesday,2039-39,2039-09,2024
2024-01-21,Wednesday,2039-40,2039-10,2024
2024-01-18,Wednesday,2039-41,2039-10,2024
2024-01-21,Thursday,2039-42,2039-10,2024
2024-01-28,Tuesday,2039-43,2039-10,2024
2024-02-02,Tuesday,2039-44,2039-10,2024
2024-01-09,Tuesday,2039-45,2039-11,2024
2024-01-21,Tuesday,2039-46,2039-11,2024
2024-02-08,Thursday,2039-47,2039-11,2024
2024-01-11,Monday,2039-48,2039-11,2024
2024-01-10,Tuesday,2039-49,2039-12,2024
2024-01-25,Wednesday,2039-50,2039-12,2024
2024-01-13,Thursday,2039-51,2039-12,2024
2024-01-31,Tuesday,2039-52,2039-12,2024
2024-01-27,Friday,2040-01,2040-01,2024
2024-01-27,Friday,2040-02,2040-01,2024
2024-01-31,Monday,2040-03,2040-01,2024
2024-01-25,Monday,2040-04,2040-01,2024
2024-01-12,Thursday,2040-05,2040-01,2024
2024-01-14,Wednesday,2040-06,2040-02,2024
2024-01-13,Monday,2040-07,2040-02,2024
2024-01-11,Tuesday,2040-08,2040-02,2024
2024-01-29,Monday,2040-09,2040-02,2024
2024-01-31,Monday,2040-10,2040-03,2024
2024-01-16,Thursday,2040-11,2040-03,2024
2024-01-10,Tuesday,2040-12,2040-03,2024
2024-02-07,Monday,2040-13,2040-03,2024
2024-01-16,Thursday,2040-14,2040-04,2024
2024-02-04,Thursday,2040-15,2040-04,2024
2024-01-11,Thursday,2040-16,2040-04,2024
2024-01-21,Tuesday,2040-17,2040-04,2024
2024-01-28,Thursday,2040-18,2040-04,2024
2024-01-23,Thursday,2040-19,2040-05,2024
2024-01-18,Wednesday,2040-20,2040-05,2024
2024-01-26,Monday,2040-21,2040-05,2024
2024-01-11,Monday,2040-22,2040-05,2024
2024-01-23,Monday,2040-23,2040-06,2024
2024-02-09,Tuesday,2040-24,2040-06,2024
2024-01-31,Wednesday,2040-25,2040-06,2024
2024-02-05,Thursday,2040-26,2040-06,2024
2024-01-20,Thursday,2040-27,2040-07,2024
2024-02-01,Thursday,2040-28,2040-07,2024
2024-01-17,Friday,2040-29,2040-07,2024
2024-01-30,Wednesday,2040-30,2040-07,2024
2024-02-05,Monday,2040-31,2040-07,2024
2024-01-22,Friday,2040-32,2040-08,2024
2024-01-15,Thursday,2040-33,2040-08,2024
2024-02-06,Tuesday,2040-34,2040-08,2024
2024-01-12,Tuesday,2040-35,2040-08,2024
2024-01-15,Monday,2040-36,2040-09,2024
2024-01-25,Monday,2040-37,2040-09,2024
2024-01-28,Monday,2040-38,2040-09,2024
2024-01-24,Tuesday,2040-39,2040-09,2024
2024-01-28,Wednesday,2040-40,2040-10,2024
2024-01-17,Monday,2040-41,2040-10,2024
2024-01-12,Monday,2040-42,2040-10,2024
2024-01-23,Monday,2040-43,2040-10,2024
2024-01-22,Friday,2040-44,2040-10,2024
2024-01-25,Wednesday,2040-45,2040-11,2024
2024-01-08,Wednesday,2040-46,2040-11,2024
2024-01-18,Monday,2040-47,2040-11,2024
2024-01-08,Wednesday,2040-48,2040-11,2024
2024-01-16,Monday,2040-49,2040-12,2024
2024-01-12,Thursday,2040-50,2040-12,2024
2024-02-05,Wednesday,2040-51,2040-12,2024
2024-02-08,Monday,2040-52,2040-12,2024
2024-02-04,Thursday,2040-53,2040-12,2024
2024-02-10,Thursday,2041-01,2041-01,2024
2024-01-22,Friday,2041-02,2041-01,2024
2024-02-03,Friday,2041-03,2041-01,2024
2024-02-04,Tuesday,2041-04,2041-01,2024
2024-01-08,Thursday,2041-05,2041-02,2024
2024-01-22,Tuesday,2041-06,2041-02,2024
2024-01-18,Tuesday,2041-07,2041-02,2024
2024-01-31,Monday,2041-08,2041-02,2024
2024-01-24,Thursday,2041-09,2041-03,2024
2024-01-19,Wednesday,2041-10,2041-03,2024
2024-01-25,Tuesday,2041-11,2041-03,2024
2024-02-09,Monday,2041-12,2041-03,2024
2024-01-12,Thursday,2041-13,2041-04,2024
2024-01-15,Tuesday,2041-14,2041-04,2024
2024-01-28,Thursday,2041-15,2041-04,2024
2024-01-10,Thursday,2041-16,2041-04,2024
2024-02-06,Monday,2041-17,2041-04,2024
2024-01-18,Thursday,2041-18,2041-05,2024
2024-01-13,Thursday,2041-19,2041-05,2024
2024-02-07,Wednesday,2041-20,2041-05,2024
2024-01-25,Friday,2041-21,2041-05,2024
2024-02-07,Monday,2041-22,2041-06,2024
2024-01-13,Wednesday,2041-23,2041-06,2024
2024-02-09,Tuesday,2041-24,2041-06,2024
2024-01-12,Monday,2041-25,2041-06,2024
2024-01-13,Thursday,2041-26,2041-07,2024
2024-02-04,Tuesday,2041-27,2041-07,2024
2024-01-19,Thursday,2041-28,2041-07,2024
2024-02-03,Thursday,2041-29,2041-07,2024
2024-01-11,Friday,2041-30,2041-07,2024
2024-01-11,Friday,2041-31,2041-08,2024
2024-02-03,Tuesday,2041-32,2041-08,2024
2024-01-31,Monday,2041-33,2041-08,2024
2024-02-07,Wednesday,2041-34,2041-08,2024
2024-01-30,Friday,2041-35,2041-09,2024
2024-02-05,Monday,2041-36,2041-09,2024
2024-02-01,Wednesday,2041-37,2041-09,2024
2024-01-13,Monday,2041-38,2041-09,2024
2024-01-24,Monday,2041-39,2041-09,2024
2024-02-07,Monday,2041-40,2041-10,2024
2024-01-31,Monday,2041-41,2041-10,2024
2024-02-07,Monday,2041-42,2041-10,2024
2024-01-27,Monday,2041-43,2041-10,2024
2024-01-24,Friday,2041-44,2041-11,2024
2024-01-30,Tuesday,2041-45,2041-11,2024
2024-01-23,Thursday,2041-46,2041-11,2024
2024-02-08,Friday,2041-47,2041-11,2024
2024-01-22,Tuesday,2041-48,2041-12,2024
2024-01-12,Monday,2041-49,2041-12,2024
2024-02-06,Friday,2041-50,2041-12,2024
2024-01-21,Monday,2041-51,2041-12,2024
2024-01-26,Thursday,2041-52,2041-12,2024
2024-01-14,Thursday,2042-01,2042-01,2024
2024-01-10,Wednesday,2042-02,2042-01,2024
2024-01-30,Monday,2042-03,2042-01,2024
2024-01-12,Tuesday,2042-04,2042-01,2024
2024-01-23,Monday,2042-05,2042-02,2024
2024-01-17,Friday,2042-06,2042-02,2024
2024-02-02,Monday,2042-07,2042-02,2024
2024-02-05,Friday,2042-08,2042-02,2024
2024-01-12,Thursday,2042-09,2042-03,2024
2024-01-16,Tuesday,2042-10,2042-03,2024
2024-01-21,Tuesday,2042-11,2042-03,2024
2024-02-04,Wednesday,2042-12,2042-03,2024
2024-02-06,Wednesday,2042-13,2042-03,2024
2024-01-29,Monday,2042-14,2042-04,2024
2024-01-25,Thursday,2042-15,2042-04,2024
2024-02-10,Thursday,2042-16,2042-04,2024
2024-01-11,Wednesday,2042-17,2042-04,2024
2024-01-24,Monday,2042-18,2042-05,2024
2024-02-02,Wednesday,2042-19,2042-05,2024
2024-01-13,Friday,2042-20,2042-05,2024
2024-02-04,Friday,2042-21,2042-05,2024
2024-01-17,Tuesday,2042-22,2042-06,2024
2024-01-25,Monday,2042-23,2042-06,2024
2024-02-02,Monday,2042-24,2042-06,2024
2024-01-22,Friday,2042-25,2042-06,2024
2024-02-07,Wednesday,2042-26,2042-06,2024
2024-02-04,Friday,2042-27,2042-07,2024
2024-02-07,Wednesday,2042-28,2042-07,2024
2024-01-29,Friday,2042-29,2042-07,2024
2024-01-27,Friday,2042-30,2042-07,2024
2024-01-09,Tuesday,2042-31,2042-08,2024
2024-02-05,Wednesday,2042-32,2042-08,2024
2024-01-12,Thursday,2042-33,2042-08,2024
2024-01-11,Friday,2042-34,2042-08,2024
2024-02-02,Monday,2042-35,2042-09,2024
2024-02-10,Tuesday,2042-36,2042-09,2024
2024-02-04,Tuesday,2042-37,2042-09,2024
2024-02-08,Friday,2042-38,2042-09,2024
2024-01-31,Monday,2042-39,2042-09,2024
2024-02-10,Monday,2042-40,2042-10,2024
2024-01-26,Friday,2042-41,2042-10,2024
2024-02-02,Tuesday,2042-42,2042-10,2024
2024-01-31,Friday,2042-43,2042-10,2024
2024-01-15,Monday,2042-44,2042-11,2024
2024-01-21,Thursday,2042-45,2042-11,2024
2024-02-06,Tuesday,2042-46,2042-11,2024
2024-01-08,Monday,2042-47,2042-11,2024
2024-01-26,Friday,2042-48,2042-12,2024
2024-01-17,Friday,2042-49,2042-12,2024
2024-01-29,Thursday,2042-50,2042-12,2024
2024-01-21,Friday,2042-51,2042-12,2024
2024-01-28,Monday,2042-52,2042-12,2024
2024-02-02,Monday,2043-01,2043-01,2024
2024-01-23,Tuesday,2043-02,2043-01,2024
2024-01-10,Friday,2043-03,2043-01,2024
2024-01-13,Tuesday,2043-04,2043-01,2024
2024-01-26,Friday,2043-05,2043-02,2024
2024-01-12,Tuesday,2043-06,2043-02,2024
2024-01-15,Monday,2043-07,2043-02,2024
2024-01-27,Thursday,2043-08,2043-02,2024
2024-01-14,Thursday,2043-09,2043-03,2024
2024-01-22,Friday,2043-10,2043-03,2024
2024-01-22,Thursday,2043-11,2043-03,2024
2024-01-26,Thursday,2043-12,2043-03,2024
2024-02-05,Tuesday,2043-13,2043-03,2024
2024-02-09,Monday,2043-14,2043-04,2024
2024-01-24,Friday,2043-15,2043-04,2024
2024-01-19,Friday,2043-16,2043-04,2024
2024-02-02,Thursday,2043-17,2043-04,2024
2024-02-10,Tuesday,2043-18,2043-05,2024
2024-01-14,Monday,2043-19,2043-05,2024
2024-01-16,Monday,2043-20,2043-05,2024
2024-01-31,Wednesday,2043-21,2043-05,2024
2024-01-26,Monday,2043-22,2043-06,2024
2024-02-04,Tuesday,2043-23,2043-06,2024
2024-01-25,Thursday,2043-24,2043-06,2024
2024-01-20,Friday,2043-25,2043-06,2024
2024-01-11,Tuesday,2043-26,2043-06,2024
2024-01-29,Friday,2043-27,2043-07,2024
2024-02-08,Monday,2043-28,2043-07,2024
2024-01-12,Friday,2043-29,2043-07,2024
2024-02-02,Thursday,2043-30,2043-07,2024
2024-01-28,Thursday,2043-31,2043-08,2024
2024-02-03,Thursday,2043-32,2043-08,2024
2024-02-02,Thursday,2043-33,2043-08,2024
2024-01-24,Friday,2043-34,2043-08,2024
2024-01-27,Friday,2043-35,2043-08,2024
2024-01-29,Friday,2043-36,2043-09,2024
2024-02-04,Thursday,2043-37,2043-09,2024
2024-01-14,Thursday,2043-38,2043-09,2024
2024-01-26,Friday,2043-39,2043-09,2024
2024-01-22,Thursday,2043-40,2043-10,2024
2024-01-27,Friday,2043-41,2043-10,2024
2024-01-15,Monday,2043-42,2043-10,2024
2024-01-11,Wednesday,2043-43,2043-10,2024
2024-02-08,Friday,2043-44,2043-11,2024
2024-02-04,Wednesday,2043-45,2043-11,2024
2024-01-15,Monday,2043-46,2043-11,2024
2024-02-04,Friday,2043-47,2043-11,2024
2024-02-02,Monday,2043-48,2043-11,2024
2024-01-19,Thursday,2043-49,2043-12,2024
2024-01-09,Wednesday,2043-50,2043-12,2024
2024-01-28,Tuesday,2043-51,2043-12,2024
2024-01-11,Tuesday,2043-52,2043-12,2024
2024-01-22,Friday,2044-01,2044-01,2024
2024-01-20,Monday,2044-02,2044-01,2024
2024-01-13,Friday,2044-03,2044-01,2024
2024-01-22,Friday,2044-04,2044-01,2024
2024-02-09,Wednesday,2044-05,2044-02,2024
2024-01-31,Wednesday,2044-06,2044-02,2024
2024-02-06,Friday,2044-07,2044-02,2024
2024-02-06,Monday,2044-08,2044-02,2024
2024-02-02,Tuesday,2044-09,2044-02,2024
2024-01-13,Wednesday,2044-10,2044-03,2024
2024-01-27,Monday,2044-11,2044-03,2024
2024-01-17,Thursday,2044-12,2044-03,2024
2024-01-16,Thursday,2044-13,2044-03,2024
2024-01-29,Friday,2044-14,2044-04,2024
2024-02-04,Wednesday,2044-15,2044-04,2024
2024-01-13,Friday,2044-16,2044-04,2024
2024-01-26,Monday,2044-17,2044-04,2024
2024-01-17,Monday,2044-18,2044-05,2024
2024-01-13,Friday,2044-19,2044-05,2024
2024-01-09,Friday,2044-20,2044-05,2024
2024-02-03,Friday,2044-21,2044-05,2024
2024-02-06,Friday,2044-22,2044-05,2024
2024-02-01,Wednesday,2044-23,2044-06,2024
2024-01-17,Wednesday,2044-24,2044-06,2024
2024-01-27,Tuesday,2044-25,2044-06,2024
2024-01-23,Monday,2044-26,2044-06,2024
2024-02-06,Thursday,2044-27,2044-07,2024
2024-02-09,Tuesday,2044-28,2044-07,2024
2024-01-21,Friday,2044-29,2044-07,2024
2024-01-24,Tuesday,2044-30,2044-07,2024
2024-01-24,Friday,2044-31,2044-08,2024
2024-01-28,Friday,2044-32,2044-08,2024
2024-01-14,Tuesday,2044-33,2044-08,2024
2024-01-23,Tuesday,2044-34,2044-08,2024
2024-01-28,Friday,2044-35,2044-08,2024
2024-02-07,Thursday,2044-36,2044-09,2024
2024-01-22,Monday,2044-37,2044-09,2024
2024-02-05,Wednesday,2044-38,2044-09,2024
2024-01-17,Friday,2044-39,2044-09,2024
2024-01-15,Tuesday,2044-40,2044-10,2024
2024-01-30,Friday,2044-41,2044-10,2024
2024-01-27,Thursday,2044-42,2044-10,2024
2024-01-27,Monday,2044-43,2044-10,2024
2024-01-12,Monday,2044-44,2044-10,2024
2024-01-17,Thursday,2044-45,2044-11,2024
2024-01-28,Friday,2044-46,2044-11,2024
2024-01-10,Friday,2044-47,2044-11,2024
2024-02-06,Wednesday,2044-48,2044-11,2024
2024-01-15,Monday,2044-49,2044-12,2024
2024-01-10,Monday,2044-50,2044-12,2024
2024-01-24,Thursday,2044-51,2044-12,2024
2024-02-07,Thursday,2044-52,2044-12,2024
2024-01-18,Friday,2045-01,2045-01,2024
2024-01-18,Friday,2045-02,2045-01,2024
2024-02-08,Friday,2045-03,2045-01,2024
2024-01-09,Thursday,2045-04,2045-01,2024
2024-02-05,Wednesday,2045-05,2045-01,2024
2024-01-14,Friday,2045-06,2045-02,2024
2024-01-29,Friday,2045-07,2045-02,2024
2024-02-03,Friday,2045-08,2045-02,2024
2024-01-09,Monday,2045-09,2045-02,2024
2024-01-22,Monday,2045-10,2045-03,2024
2024-01-27,Tuesday,2045-11,2045-03,2024
2024-02-02,Monday,2045-12,2045-03,2024
2024-01-12,Thursday,2045-13,2045-03,2024
2024-01-28,Monday,2045-14,2045-04,2024
2024-01-26,Wednesday,2045-15,2045-04,2024
2024-01-21,Thursday,2045-16,2045-04,2024
2024-01-25,Tuesday,2045-17,2045-04,2024
2024-02-02,Wednesday,2045-18,2045-05,2024
2024-02-06,Thursday,2045-19,2045-05,2024
2024-02-07,Tuesday,2045-20,2045-05,2024
2024-01-29,Thursday,2045-21,2045-05,2024
2024-01-12,Monday,2045-22,2045-05,2024
